# t x1 y1 x2 y2 error_x error_y
204.3000000000 10.5191554834 11.8730229751 10.5191554668 11.8730228788 0.0000000165 0.0000000963
204.3100000000 10.4999137736 11.7888119657 10.4999137581 11.7888118701 0.0000000155 0.0000000956
204.3200000000 10.4815876294 11.7050333400 10.4815876149 11.7050332450 0.0000000144 0.0000000950
204.3300000000 10.4641678141 11.6216943172 10.4641678007 11.6216942228 0.0000000134 0.0000000943
204.3400000000 10.4476452835 11.5388017976 10.4476452711 11.5388017039 0.0000000124 0.0000000937
204.3500000000 10.4320111836 11.4563623708 10.4320111722 11.4563622777 0.0000000114 0.0000000930
204.3600000000 10.4172568491 11.3743823224 10.4172568387 11.3743822300 0.0000000104 0.0000000924
204.3700000000 10.4033738008 11.2928676422 10.4033737913 11.2928675505 0.0000000094 0.0000000917
204.3800000000 10.3903537439 11.2118240310 10.3903537354 11.2118239399 0.0000000085 0.0000000910
204.3900000000 10.3781885660 11.1312569080 10.3781885585 11.1312568177 0.0000000075 0.0000000903
204.4000000000 10.3668703345 11.0511714183 10.3668703279 11.0511713286 0.0000000066 0.0000000897
204.4100000000 10.3563912949 10.9715724390 10.3563912893 10.9715723501 0.0000000056 0.0000000890
204.4200000000 10.3467438686 10.8924645872 10.3467438639 10.8924644989 0.0000000047 0.0000000883
204.4300000000 10.3379206502 10.8138522259 10.3379206465 10.8138521383 0.0000000038 0.0000000876
204.4400000000 10.3299144062 10.7357394712 10.3299144033 10.7357393843 0.0000000029 0.0000000869
204.4500000000 10.3227180718 10.6581301989 10.3227180698 10.6581301126 0.0000000020 0.0000000862
204.4600000000 10.3163247496 10.5810280505 10.3163247485 10.5810279650 0.0000000011 0.0000000855
204.4700000000 10.3107277066 10.5044364403 10.3107277064 10.5044363555 0.0000000002 0.0000000848
204.4800000000 10.3059203728 10.4283585610 10.3059203734 10.4283584769 0.0000000007 0.0000000841
204.4900000000 10.3018963380 10.3527973901 10.3018963396 10.3527973067 0.0000000015 0.0000000834
204.5000000000 10.2986493507 10.2777556960 10.2986493530 10.2777556133 0.0000000024 0.0000000827
204.5100000000 10.2961733148 10.2032360439 10.2961733180 10.2032359619 0.0000000032 0.0000000820
204.5200000000 10.2944622882 10.1292408015 10.2944622923 10.1292407203 0.0000000041 0.0000000813
204.5300000000 10.2935104805 10.0557721449 10.2935104854 10.0557720643 0.0000000049 0.0000000806
204.5400000000 10.2933122502 9.9828320639 10.2933122559 9.9828319840 0.0000000057 0.0000000799
204.5500000000 10.2938621032 9.9104223678 10.2938621098 9.9104222886 0.0000000065 0.0000000792
204.5600000000 10.2951546907 9.8385446906 10.2951546980 9.8385446122 0.0000000073 0.0000000785
204.5700000000 10.2971848062 9.7672004965 10.2971848143 9.7672004187 0.0000000081 0.0000000778
204.5800000000 10.2999473844 9.6963910846 10.2999473933 9.6963910076 0.0000000089 0.0000000771
204.5900000000 10.3034374985 9.6261175946 10.3034375082 9.6261175182 0.0000000097 0.0000000764
204.6000000000 10.3076503582 9.5563810112 10.3076503687 9.5563809355 0.0000000105 0.0000000757
204.6100000000 10.3125813076 9.4871821692 10.3125813189 9.4871820942 0.0000000113 0.0000000750
204.6200000000 10.3182258234 9.4185217585 10.3182258354 9.4185216842 0.0000000120 0.0000000743
204.6300000000 10.3245795124 9.3504003281 10.3245795252 9.3504002546 0.0000000128 0.0000000736
204.6400000000 10.3316381099 9.2828182916 10.3316381234 9.2828182187 0.0000000135 0.0000000729
204.6500000000 10.3393974775 9.2157759307 10.3393974918 9.2157758585 0.0000000143 0.0000000722
204.6600000000 10.3478536011 9.1492734001 10.3478536161 9.1492733286 0.0000000150 0.0000000715
204.6700000000 10.3570025891 9.0833107317 10.3570026048 9.0833106609 0.0000000158 0.0000000708
204.6800000000 10.3668406702 9.0178878389 10.3668406866 9.0178877688 0.0000000165 0.0000000701
204.6900000000 10.3773641917 8.9530045203 10.3773642089 8.9530044509 0.0000000172 0.0000000694
204.7000000000 10.3885696175 8.8886604640 10.3885696354 8.8886603953 0.0000000179 0.0000000687
204.7100000000 10.4004535264 8.8248552515 10.4004535451 8.8248551834 0.0000000186 0.0000000681
204.7200000000 10.4130126100 8.7615883612 10.4130126294 8.7615882938 0.0000000193 0.0000000674
204.7300000000 10.4262436710 8.6988591727 10.4262436911 8.6988591060 0.0000000201 0.0000000667
204.7400000000 10.4401436214 8.6366669698 10.4401436421 8.6366669038 0.0000000208 0.0000000660
204.7500000000 10.4547094805 8.5750109446 10.4547095020 8.5750108792 0.0000000214 0.0000000653
204.7600000000 10.4699383737 8.5138902005 10.4699383958 8.5138901358 0.0000000221 0.0000000647
204.7700000000 10.4858275301 8.4533037560 10.4858275529 8.4533036920 0.0000000228 0.0000000640
204.7800000000 10.5023742812 8.3932505479 10.5023743047 8.3932504845 0.0000000235 0.0000000633
204.7900000000 10.5195760590 8.3337294342 10.5195760831 8.3337293715 0.0000000242 0.0000000627
204.8000000000 10.5374303944 8.2747391978 10.5374304192 8.2747391358 0.0000000249 0.0000000620
204.8100000000 10.5559349156 8.2162785491 10.5559349412 8.2162784878 0.0000000255 0.0000000614
204.8200000000 10.5750873465 8.1583461295 10.5750873727 8.1583460688 0.0000000262 0.0000000607
204.8300000000 10.5948855048 8.1009405138 10.5948855317 8.1009404537 0.0000000269 0.0000000601
204.8400000000 10.6153273008 8.0440602134 10.6153273283 8.0440601539 0.0000000275 0.0000000594
204.8500000000 10.6364107356 7.9877036790 10.6364107637 7.9877036203 0.0000000282 0.0000000588
204.8600000000 10.6581338994 7.9318693036 10.6581339282 7.9318692454 0.0000000288 0.0000000581
204.8700000000 10.6804949705 7.8765554244 10.6804950000 7.8765553669 0.0000000295 0.0000000575
204.8800000000 10.7034922133 7.8217603264 10.7034922434 7.8217602695 0.0000000301 0.0000000569
204.8900000000 10.7271239770 7.7674822441 10.7271240078 7.7674821879 0.0000000308 0.0000000563
204.9000000000 10.7513886941 7.7137193645 10.7513887255 7.7137193089 0.0000000314 0.0000000556
204.9100000000 10.7762848789 7.6604698291 10.7762849109 7.6604697741 0.0000000320 0.0000000550
204.9200000000 10.8018111261 7.6077317366 10.8018111588 7.6077316823 0.0000000327 0.0000000544
204.9300000000 10.8279661097 7.5555031450 10.8279661430 7.5555030913 0.0000000333 0.0000000538
204.9400000000 10.8547485810 7.5037820739 10.8547486149 7.5037820207 0.0000000339 0.0000000532
204.9500000000 10.8821573675 7.4525665064 10.8821574020 7.4525664539 0.0000000346 0.0000000526
204.9600000000 10.9101913718 7.4018543918 10.9101914070 7.4018543399 0.0000000352 0.0000000520
204.9700000000 10.9388495699 7.3516436471 10.9388496057 7.3516435957 0.0000000358 0.0000000514
204.9800000000 10.9681310100 7.3019321591 10.9681310464 7.3019321084 0.0000000364 0.0000000508
204.9900000000 10.9980348110 7.2527177868 10.9980348481 7.2527177367 0.0000000370 0.0000000502
205.0000000000 11.0285601618 7.2039983629 11.0285601995 7.2039983133 0.0000000377 0.0000000496
205.0100000000 11.0597063192 7.1557716955 11.0597063574 7.1557716465 0.0000000383 0.0000000490
205.0200000000 11.0914726070 7.1080355705 11.0914726459 7.1080355221 0.0000000389 0.0000000484
205.0300000000 11.1238584151 7.0607877528 11.1238584546 7.0607877049 0.0000000395 0.0000000478
205.0400000000 11.1568631975 7.0140259884 11.1568632376 7.0140259411 0.0000000401 0.0000000473
205.0500000000 11.1904864718 6.9677480058 11.1904865125 6.9677479591 0.0000000407 0.0000000467
205.0600000000 11.2247278174 6.9219515180 11.2247278587 6.9219514719 0.0000000413 0.0000000461
205.0700000000 11.2595868748 6.8766342236 11.2595869167 6.8766341780 0.0000000419 0.0000000456
205.0800000000 11.2950633439 6.8317938087 11.2950633864 6.8317937637 0.0000000425 0.0000000450
205.0900000000 11.3311569832 6.7874279483 11.3311570263 6.7874279039 0.0000000431 0.0000000444
205.1000000000 11.3678676084 6.7435343079 11.3678676521 6.7435342640 0.0000000437 0.0000000439
205.1100000000 11.4051950915 6.7001105448 11.4051951358 6.7001105014 0.0000000443 0.0000000433
205.1200000000 11.4431393591 6.6571543092 11.4431394040 6.6571542664 0.0000000449 0.0000000428
205.1300000000 11.4817003921 6.6146632464 11.4817004376 6.6146632042 0.0000000455 0.0000000423
205.1400000000 11.5208782236 6.5726349973 11.5208782697 6.5726349556 0.0000000461 0.0000000417
205.1500000000 11.5606729385 6.5310672000 11.5606729852 6.5310671588 0.0000000467 0.0000000412
205.1600000000 11.6010846721 6.4899574911 11.6010847194 6.4899574504 0.0000000473 0.0000000407
205.1700000000 11.6421136089 6.4493035069 11.6421136567 6.4493034668 0.0000000479 0.0000000401
205.1800000000 11.6837599815 6.4091028847 11.6837600300 6.4091028451 0.0000000485 0.0000000396
205.1900000000 11.7260240699 6.3693532636 11.7260241190 6.3693532245 0.0000000490 0.0000000391
205.2000000000 11.7689061997 6.3300522860 11.7689062494 6.3300522475 0.0000000496 0.0000000386
205.2100000000 11.8124067417 6.2911975988 11.8124067919 6.2911975607 0.0000000502 0.0000000381
205.2200000000 11.8565261101 6.2527868538 11.8565261609 6.2527868162 0.0000000508 0.0000000376
205.2300000000 11.9012647621 6.2148177097 11.9012648135 6.2148176726 0.0000000514 0.0000000371
205.2400000000 11.9466231964 6.1772878323 11.9466232484 6.1772877958 0.0000000520 0.0000000366
205.2500000000 11.9926019522 6.1401948961 11.9926020048 6.1401948601 0.0000000525 0.0000000361
205.2600000000 12.0392016082 6.1035365850 12.0392016614 6.1035365494 0.0000000531 0.0000000356
205.2700000000 12.0864227815 6.0673105930 12.0864228352 6.0673105579 0.0000000537 0.0000000351
205.2800000000 12.1342661262 6.0315146258 12.1342661805 6.0315145912 0.0000000543 0.0000000346
205.2900000000 12.1827323329 5.9961464010 12.1827323878 5.9961463669 0.0000000549 0.0000000341
205.3000000000 12.2318221272 5.9612036495 12.2318221827 5.9612036159 0.0000000555 0.0000000336
205.3100000000 12.2815362688 5.9266841162 12.2815363249 5.9266840831 0.0000000560 0.0000000332
205.3200000000 12.3318755504 5.8925855607 12.3318756070 5.8925855280 0.0000000566 0.0000000327
205.3300000000 12.3828407963 5.8589057582 12.3828408535 5.8589057260 0.0000000572 0.0000000322
205.3400000000 12.4344328620 5.8256425005 12.4344329198 5.8256424688 0.0000000578 0.0000000318
205.3500000000 12.4866526324 5.7927935966 12.4866526907 5.7927935653 0.0000000584 0.0000000313
205.3600000000 12.5395010211 5.7603568735 12.5395010800 5.7603568426 0.0000000589 0.0000000308
205.3700000000 12.5929789692 5.7283301768 12.5929790287 5.7283301465 0.0000000595 0.0000000304
205.3800000000 12.6470874444 5.6967113720 12.6470875045 5.6967113421 0.0000000601 0.0000000299
205.3900000000 12.7018274395 5.6654983446 12.7018275002 5.6654983151 0.0000000607 0.0000000295
205.4000000000 12.7571999715 5.6346890009 12.7572000328 5.6346889719 0.0000000612 0.0000000290
205.4100000000 12.8132060807 5.6042812691 12.8132061425 5.6042812405 0.0000000618 0.0000000286
205.4200000000 12.8698468291 5.5742730997 12.8698468915 5.5742730715 0.0000000624 0.0000000281
205.4300000000 12.9271232997 5.5446624659 12.9271233627 5.5446624382 0.0000000630 0.0000000277
205.4400000000 12.9850365952 5.5154473651 12.9850366587 5.5154473378 0.0000000635 0.0000000273
205.4500000000 13.0435878366 5.4866258184 13.0435879008 5.4866257915 0.0000000641 0.0000000268
205.4600000000 13.1027781627 5.4581958721 13.1027782274 5.4581958457 0.0000000647 0.0000000264
205.4700000000 13.1626087281 5.4301555983 13.1626087934 5.4301555723 0.0000000653 0.0000000260
205.4800000000 13.2230807027 5.4025030948 13.2230807685 5.4025030693 0.0000000658 0.0000000256
205.4900000000 13.2841952701 5.3752364865 13.2841953365 5.3752364614 0.0000000664 0.0000000251
205.5000000000 13.3459536267 5.3483539255 13.3459536937 5.3483539008 0.0000000670 0.0000000247
205.5100000000 13.4083569801 5.3218535920 13.4083570477 5.3218535677 0.0000000676 0.0000000243
205.5200000000 13.4714065484 5.2957336946 13.4714066165 5.2957336707 0.0000000681 0.0000000239
205.5300000000 13.5351035583 5.2699924710 13.5351036270 5.2699924475 0.0000000687 0.0000000235
205.5400000000 13.5994492446 5.2446281887 13.5994493139 5.2446281656 0.0000000693 0.0000000231
205.5500000000 13.6644448482 5.2196391453 13.6644449180 5.2196391226 0.0000000699 0.0000000227
205.5600000000 13.7300916153 5.1950236692 13.7300916857 5.1950236469 0.0000000704 0.0000000223
205.5700000000 13.7963907959 5.1707801201 13.7963908669 5.1707800982 0.0000000710 0.0000000219
205.5800000000 13.8633436425 5.1469068897 13.8633437141 5.1469068682 0.0000000716 0.0000000215
205.5900000000 13.9309514090 5.1234024019 13.9309514811 5.1234023808 0.0000000722 0.0000000211
205.6000000000 13.9992153486 5.1002651136 13.9992154214 5.1002650929 0.0000000727 0.0000000207
205.6100000000 14.0681367136 5.0774935154 14.0681367869 5.0774934951 0.0000000733 0.0000000203
205.6200000000 14.1377167528 5.0550861314 14.1377168267 5.0550861115 0.0000000739 0.0000000199
205.6300000000 14.2079567110 5.0330415207 14.2079567854 5.0330415011 0.0000000744 0.0000000195
205.6400000000 14.2788578268 5.0113582770 14.2788579018 5.0113582579 0.0000000750 0.0000000191
205.6500000000 14.3504213320 4.9900350300 14.3504214076 4.9900350113 0.0000000756 0.0000000187
205.6600000000 14.4226484492 4.9690704451 14.4226485254 4.9690704267 0.0000000762 0.0000000184
205.6700000000 14.4955403911 4.9484632244 14.4955404678 4.9484632064 0.0000000767 0.0000000180
205.6800000000 14.5690983581 4.9282121071 14.5690984355 4.9282120895 0.0000000773 0.0000000176
205.6900000000 14.6433235378 4.9083158701 14.6433236157 4.9083158529 0.0000000779 0.0000000172
205.7000000000 14.7182171025 4.8887733284 14.7182171809 4.8887733115 0.0000000785 0.0000000169
205.7100000000 14.7937802079 4.8695833355 14.7937802869 4.8695833190 0.0000000790 0.0000000165
205.7200000000 14.8700139916 4.8507447842 14.8700140712 4.8507447680 0.0000000796 0.0000000161
205.7300000000 14.9469195712 4.8322566070 14.9469196514 4.8322565912 0.0000000802 0.0000000158
205.7400000000 15.0244980429 4.8141177765 15.0244981237 4.8141177611 0.0000000807 0.0000000154
205.7500000000 15.1027504795 4.7963273063 15.1027505608 4.7963272913 0.0000000813 0.0000000150
205.7600000000 15.1816779284 4.7788842510 15.1816780103 4.7788842363 0.0000000819 0.0000000147
205.7700000000 15.2612814106 4.7617877070 15.2612814930 4.7617876926 0.0000000824 0.0000000143
205.7800000000 15.3415619180 4.7450368131 15.3415620010 4.7450367992 0.0000000830 0.0000000140
205.7900000000 15.4225204121 4.7286307511 15.4225204956 4.7286307375 0.0000000836 0.0000000136
205.8000000000 15.5041578218 4.7125687460 15.5041579059 4.7125687327 0.0000000841 0.0000000132
205.8100000000 15.5864750416 4.6968500668 15.5864751263 4.6968500539 0.0000000847 0.0000000129
205.8200000000 15.6694729298 4.6814740271 15.6694730150 4.6814740146 0.0000000853 0.0000000125
205.8300000000 15.7531523059 4.6664399856 15.7531523917 4.6664399734 0.0000000858 0.0000000122
205.8400000000 15.8375139491 4.6517473464 15.8375140355 4.6517473345 0.0000000864 0.0000000118
205.8500000000 15.9225585962 4.6373955600 15.9225586832 4.6373955485 0.0000000870 0.0000000115
205.8600000000 16.0082869390 4.6233841236 16.0082870265 4.6233841125 0.0000000875 0.0000000111
205.8700000000 16.0946996227 4.6097125819 16.0946997108 4.6097125712 0.0000000881 0.0000000108
205.8800000000 16.1817972431 4.5963805274 16.1817973317 4.5963805170 0.0000000886 0.0000000104
205.8900000000 16.2695803449 4.5833876013 16.2695804341 4.5833875912 0.0000000892 0.0000000101
205.9000000000 16.3580494189 4.5707334937 16.3580495086 4.5707334839 0.0000000898 0.0000000097
205.9100000000 16.4472049000 4.5584179447 16.4472049903 4.5584179353 0.0000000903 0.0000000094
205.9200000000 16.5370471645 4.5464407449 16.5370472554 4.5464407358 0.0000000909 0.0000000091
205.9300000000 16.6275765280 4.5348017357 16.6275766195 4.5348017269 0.0000000914 0.0000000087
205.9400000000 16.7187932426 4.5235008102 16.7187933345 4.5235008019 0.0000000920 0.0000000084
205.9500000000 16.8106974942 4.5125379142 16.8106975867 4.5125379061 0.0000000925 0.0000000080
205.9600000000 16.9032894004 4.5019130459 16.9032894935 4.5019130382 0.0000000931 0.0000000077
205.9700000000 16.9965690074 4.4916262578 16.9965691010 4.4916262504 0.0000000936 0.0000000074
205.9800000000 17.0905362875 4.4816776563 17.0905363816 4.4816776493 0.0000000942 0.0000000070
205.9900000000 17.1851911361 4.4720674032 17.1851912308 4.4720673965 0.0000000947 0.0000000067
206.0000000000 17.2805333692 4.4627957157 17.2805334644 4.4627957094 0.0000000953 0.0000000063
206.0100000000 17.3765627201 4.4538628679 17.3765628159 4.4538628619 0.0000000958 0.0000000060
206.0200000000 17.4732788368 4.4452691909 17.4732789332 4.4452691852 0.0000000963 0.0000000057
206.0300000000 17.5706812789 4.4370150738 17.5706813758 4.4370150684 0.0000000969 0.0000000053
